,loss,mean_squared_error,val_loss,val_mean_squared_error,lr
0,0.26772722601890564,0.26772722601890564,0.18964225053787231,0.18964225053787231,1e-06
1,0.172489732503891,0.172489732503891,0.036301713436841965,0.036301713436841965,3.43e-05
2,0.07614187896251678,0.07614187896251678,0.022774523124098778,0.022774523124098778,6.76e-05
3,0.05832013860344887,0.05832013860344887,0.012751923874020576,0.012751923874020576,0.0001009
4,0.05118044465780258,0.05118044465780258,0.013276507146656513,0.013276507146656513,0.0001342
5,0.05486476793885231,0.05486476793885231,0.010242537595331669,0.010242537595331669,0.0001675
6,0.04389923810958862,0.04389923810958862,0.010875747539103031,0.010875747539103031,0.0002008
7,0.03219607472419739,0.03219607472419739,0.010096416808664799,0.010096416808664799,0.0002341
8,0.03809709846973419,0.03809709846973419,0.013213123194873333,0.013213123194873333,0.0002674
9,0.03413637354969978,0.03413637354969978,0.008054465055465698,0.008054465055465698,0.0003007
10,0.029243096709251404,0.029243096709251404,0.007420348934829235,0.007420348934829235,0.000334
11,0.024713655933737755,0.024713659659028053,0.003853392321616411,0.003853392321616411,0.0003673
12,0.022008011117577553,0.022008011117577553,0.003620423609390855,0.003620423609390855,0.0004006
13,0.021412288770079613,0.021412288770079613,0.0020391582511365414,0.0020391582511365414,0.0004339
14,0.017794467508792877,0.017794467508792877,0.0022585559636354446,0.0022585559636354446,0.0004672
15,0.015572849661111832,0.015572849661111832,0.0022414985578507185,0.0022414985578507185,0.0005005
16,0.014033885672688484,0.014033885672688484,0.0016040634363889694,0.0016040634363889694,0.0005338
17,0.0152202807366848,0.0152202807366848,0.0020825506653636694,0.0020825506653636694,0.0005671
18,0.012661871500313282,0.012661871500313282,0.0020531003829091787,0.0020531003829091787,0.0006004
19,0.012508825398981571,0.012508826330304146,0.0030580335296690464,0.0030580335296690464,0.0006337
20,0.011593105271458626,0.011593105271458626,0.0014594420790672302,0.0014594420790672302,0.000667
21,0.011557323858141899,0.011557323858141899,0.0015596552984789014,0.0015596552984789014,0.0007003
22,0.009066371247172356,0.009066371247172356,0.0027711414732038975,0.0027711414732038975,0.0007336
23,0.009079230017960072,0.009079230017960072,0.0011214783880859613,0.0011214783880859613,0.0007669
24,0.00846068374812603,0.00846068374812603,0.0016098431078717113,0.0016098431078717113,0.0008002
25,0.010048164054751396,0.010048164054751396,0.0012753334594890475,0.0012753334594890475,0.0008335
26,0.0072186836041510105,0.0072186836041510105,0.0011907570296898484,0.0011907570296898484,0.0008668
27,0.008063141256570816,0.008063141256570816,0.0011914896313101053,0.0011914896313101053,0.0009001
28,0.007039558608084917,0.007039558608084917,0.0030429004691541195,0.0030429004691541195,0.0009334
29,0.007417133543640375,0.007417133543640375,0.0011493745259940624,0.0011493745259940624,0.0009667
30,0.0055217137560248375,0.0055217137560248375,0.0010241300333291292,0.0010241300333291292,0.001
31,0.005168517120182514,0.005168517120182514,0.0012489736545830965,0.0012489736545830965,0.0009905
32,0.005690271966159344,0.005690271966159344,0.0017991623608395457,0.0017991623608395457,0.000981
33,0.005517617799341679,0.005517617799341679,0.00100755225867033,0.00100755225867033,0.0009715
34,0.0044312868267297745,0.0044312868267297745,0.0008788352715782821,0.0008788352715782821,0.000962
35,0.004334691911935806,0.004334691911935806,0.001591270905919373,0.001591270905919373,0.0009525
36,0.004315229598432779,0.004315229598432779,0.000839514599647373,0.000839514599647373,0.000943
37,0.004282776266336441,0.004282776266336441,0.0013406366342678666,0.0013406365178525448,0.0009335
38,0.0036977161653339863,0.0036977161653339863,0.0007887328392826021,0.0007887328392826021,0.000924
39,0.0035043498501181602,0.0035043496172875166,0.0011138829868286848,0.0011138829868286848,0.0009145
40,0.0037931385450065136,0.0037931385450065136,0.0008285858784802258,0.0008285858784802258,0.000905
41,0.0037026461213827133,0.0037026461213827133,0.001256957883015275,0.001256957883015275,0.0008955
42,0.0034219997469335794,0.0034219997469335794,0.0008394080214202404,0.0008394080214202404,0.000886
43,0.0034366128966212273,0.0034366128966212273,0.0008181278244592249,0.0008181278244592249,0.0008765
44,0.003526974469423294,0.003526974469423294,0.0008106112945824862,0.0008106112945824862,0.000867
45,0.00291248457506299,0.00291248457506299,0.000757935456931591,0.000757935456931591,0.0008575
46,0.002747915219515562,0.002747915219515562,0.0012080100132152438,0.0012080101296305656,0.000848
47,0.003092350671067834,0.003092350671067834,0.0007133577018976212,0.0007133577018976212,0.0008385
48,0.0025174671318382025,0.0025174671318382025,0.0007922688382677734,0.0007922687800601125,0.000829
49,0.0028215469792485237,0.0028215469792485237,0.0007620161632075906,0.0007620161632075906,0.0008195
